TaxID Proveedor;Nombre Proveedor;N° Cotizacion;TaxID Comprador;Nombre Comprador;Usuario Comprador;Nombre Cotización;Fecha de creacion;Fecha de Publicación;Fecha de Cierre;RFQ Visualizada;RFQ Aceptada;RFQ Rechazada;RFQ Ofertada;Razon de rechazo;% Ofertas en RFQ;source
5-00821077;ENESPDA LTDA;6000040407;1-08581477;MACOP S.A;mperez;10145488;2023-06-21 12:40:59.140;2023-06-21 12:44:59.143;2024-02-21 16:00:00.000;NO;NO;NO;NO;NULL;0;Directa
7-00097739;SKLENIC SAIC;6000040407;1-08581477;MACOP S.A;mperez;10145488;2023-06-21 12:40:59.140;2023-06-21 12:44:59.143;2024-02-21 16:00:00.000;NO;NO;NO;NO;NULL;0;Directa
7-07658869;COLL-DA LTDA;6000040407;1-08581477;MACOP S.A;mperez;10145488;2023-06-21 12:40:59.140;2023-06-21 12:44:59.143;2024-02-21 16:00:00.000;SI;NO;NO;NO;NULL;0;Directa
7-53930677;INOS PA SPA;6000040407;1-08581477;MACOP S.A;mperez;10145488;2023-06-21 12:40:59.140;2023-06-21 12:44:59.143;2024-02-21 16:00:00.000;NO;NO;NO;NO;NULL;0;Directa
8-11891267;CO BOPA SPA;6000040407;1-08581477;MACOP S.A;mperez;10145488;2023-06-21 12:40:59.140;2023-06-21 12:44:59.143;2024-02-21 16:00:00.000;NO;NO;NO;NO;NULL;0;Directa
9-00014439;DUMERDA LTDA;6000040407;1-08581477;MACOP S.A;mperez;10145488;2023-06-21 12:40:59.140;2023-06-21 12:44:59.143;2024-02-21 16:00:00.000;NO;NO;NO;NO;NULL;0;Directa
1831-607-7;INRPAMA  ;817020-1;968303-69-50564;QRA PANAMA;lmerel;LOCKER;2023-08-07 16:41:15.680;2023-08-07 16:41:15.680;NULL;SI;NO;NO;NO;NULL;0;Directa
1931-117-3;SURSONT EQUIPMENT;817020-1;968303-69-50564;QRA PANAMA;lmerel;LOCKER;2023-08-07 16:41:15.680;2023-08-07 16:41:15.680;NULL;SI;NO;NO;NO;NULL;0;Directa
3202-2-926537551;AS& S,A S,A;817020-1;968303-69-50564;QRA PANAMA;lmerel;LOCKER;2023-08-07 16:41:15.680;2023-08-07 16:41:15.680;NULL;SI;NO;NO;NO;NULL;0;Directa
649644-1-100375;IN2) SA SA;817020-1;968303-69-50564;QRA PANAMA;lmerel;LOCKER;2023-08-07 16:41:15.680;2023-08-07 16:41:15.680;NULL;SI;NO;NO;NO;NULL;0;Directa
667-664-8;SENERTY DINASTY;817020-1;968303-69-50564;QRA PANAMA;lmerel;LOCKER;2023-08-07 16:41:15.680;2023-08-07 16:41:15.680;NULL;NO;NO;NO;NO;NULL;0;Directa
5-05671599;JONE SA SA;6000055954;6-00040629;EMNALEO SA;farozas;6000055954 SELLO MECANICO  JOHN CRANE;2023-09-20 12:50:55.687;2023-10-05 19:34:55.927;2024-02-03 02:00:00.000;SI;SI;NO;NO;NULL;0;Directa
2-20418077;SIENEPA SPA;6000056549;6-00040629;EMNALEO SA;nandradeh;REPUESTOS MANTENCION D RAND;2023-10-20 18:20:56.480;2023-10-23 18:18:10.007;2024-02-17 02:55:00.000;SI;SI;NO;NO;NULL;0;Directa
4-01556797;INCO PA SPA;6000043570;1-08581477;MACOP S.A;hzepeda;10152171 10152172 10152183;2023-11-02 04:30:59.377;2023-11-02 04:38:08.927;2024-02-08 19:09:00.000;SI;SI;NO;NO;NULL;0;Directa
5-02137277;EM ELIC ELECTRIC;6000043570;1-08581477;MACOP S.A;hzepeda;10152171 10152172 10152183;2023-11-02 04:30:59.377;2023-11-02 04:38:08.927;2024-02-08 19:09:00.000;SI;NO;NO;NO;NULL;0;Directa
5-05671599;JONE SA SA;6000056453-1;6-00040629;EMNALEO SA;nandradeh;REPUESTOS  MANTENCION J CRANE;2023-11-07 15:37:39.923;2023-11-07 15:38:36.160;2024-02-17 02:55:00.000;SI;SI;NO;NO;NULL;0;Directa
0-04831867;MAOSTDA LTDA;6000056993;6-00040629;EMNALEO SA;nandradeh;COLUNMAS RED CONTRA INCENDIO;2023-11-09 18:45:59.037;2023-11-13 13:00:37.460;2024-02-20 02:55:00.000;NO;NO;NO;NO;NULL;0;Directa
1-00003729;MAA DSA SA;6000056993;6-00040629;EMNALEO SA;nandradeh;COLUNMAS RED CONTRA INCENDIO;2023-11-09 18:45:59.037;2023-11-13 13:00:37.460;2024-02-20 02:55:00.000;SI;SI;NO;NO;NULL;0;Directa
6-6320857;CAA EIO ARCADIO;6000056993;6-00040629;EMNALEO SA;nandradeh;COLUNMAS RED CONTRA INCENDIO;2023-11-09 18:45:59.037;2023-11-13 13:00:37.460;2024-02-20 02:55:00.000;SI;NO;NO;NO;NULL;0;Directa
1-00003729;MAA DSA SA;6000057122;6-00040629;EMNALEO SA;nandradeh;REPUESTOS MANTENCION OLAER;2023-11-15 21:06:05.637;2023-11-16 15:16:49.180;2024-02-17 02:55:00.000;SI;SI;NO;NO;NULL;0;Directa
454131067;NOAN P. CORP.;6000057122;6-00040629;EMNALEO SA;nandradeh;REPUESTOS MANTENCION OLAER;2023-11-15 21:06:05.637;2023-11-16 15:16:49.180;2024-02-17 02:55:00.000;SI;NO;NO;NO;NULL;0;Directa
5-00044809;KUERMSA SA;6000057122;6-00040629;EMNALEO SA;nandradeh;REPUESTOS MANTENCION OLAER;2023-11-15 21:06:05.637;2023-11-16 15:16:49.180;2024-02-17 02:55:00.000;SI;NO;NO;NO;NULL;0;Directa
